Question,Answer
What is the title of the first movie listed in the dataset?,Norm of the North: King Sized Adventure
Who directed the movie 'Norm of the North: King Sized Adventure'?,"Richard Finn, Tim Maltby"
What is the type of content for 'Transformers Prime'?,TV Show
What is the release year of the movie '#realityhigh'?,2017
Which country produced the TV Show 'Apaches'?,Spain
What is the most recent date a show was added to Netflix?,"September 30, 2019"
What is the duration of the movie 'Automata'?,110 min
What genre is the movie 'Love' listed under?,"Cult Movies, Dramas, Independent Movies"
Who are the main cast members of 'Kidnapping Mr. Heineken'?,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins"
What is the description of the movie 'Good People'?,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
What is the rating of the movie 'Krish Trish and Baltiboy: Best Friends Forever'?,TV-Y
Which country produced the most content in the dataset?,United States
What is the title of the first stand-up comedy movie listed?,Jandino: Whatever it Takes
What is the earliest release year of any content in the dataset?,1925
Who directed the movie 'Cézanne et moi'?,Daniele Thompson
What is the duration of the show 'Transformers: Robots in Disguise'?,1 Season
Which movie has a cast that includes Antonio Banderas?,Automata
"What is the title of the movie with the description 'T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.'?",Black Panther
What genre is 'Amanda Knox' listed under?,Documentaries
"Which TV show has a primary cast of 'Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane'?",Archibald's Next Big Thing
What is the description of the movie 'Article 15'?,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
"Which show was added on September 30, 2018?",Adam Ruins Everything
Who directed 'The Most Assassinated Woman in the World'?,Franck Ribière
What is the release year of the movie 'PK'?,2014
What is the duration of the movie '6 Years'?,80 min
"Which TV show is listed under the genres 'Docuseries, Science & Nature TV'?",Battlefish
What is the title of the movie directed by Gaspar Noé and released in 2015?,Love
What is the rating of the TV show 'Castle of Stars'?,TV-14
What is the duration of the movie 'Bangkok Traffic (Love) Story'?,126 min
"Which movie is described as 'With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.'?",Joseph: King of Dreams
What is the release year of 'City of Joy'?,2018
Who directed the movie 'Hell and Back'?,"Tom Gianas, Ross R. Shuman"
What is the title of the movie with the description 'Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.'?,American Factory: A Conversation with the Obamas
Which movie was released in 2013 and has a duration of 108 minutes?,The Grandmaster
What is the genre of 'Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna'?,"Documentaries, International Movies"
"Which movie has a cast that includes Shannon Purser, Kristine Froseth, RJ Cyler?",Sierra Burgess Is A Loser
What is the duration of the movie 'Manhattan Romance'?,98 min
"Which movie has the genre 'Stand-Up Comedy' and was added on September 5, 2017?",Marc Maron: Too Real
What is the description of the movie 'Amanda Knox'?,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
"Which movie has a cast that includes 'Ron Perlman, Rupert Grint, Robert Sheehan'?",Moonwalkers
What is the release year of 'Shutter'?,2004
What is the duration of the movie 'The Mayor'?,130 min
Which country produced 'The Royal House of Windsor'?,United Kingdom
What is the duration of the movie 'Laddaland'?,112 min
What is the genre of the movie 'Norm of the North: King Sized Adventure'?,"Children & Family Movies, Comedies"
Which movie has a description that involves 'social media celebrity'?,#realityhigh
"What is the title of the movie with a runtime of 94 minutes and was added on September 9, 2016?",Jandino: Whatever it Takes
What is the description of the movie 'Joaquín Reyes: Una y no más'?,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
"Which TV show was released in 2017 and is categorized under 'Docuseries, Science & Nature TV'?",Fire Chasers
What is the genre of the movie 'Fabrizio Copano: Solo pienso en mi'?,Stand-Up Comedy
